battery_id,battery_formula,working_ion,elements,formula_charge,formula_discharge,max_delta_volume,average_voltage,capacity_grav,energy_grav,stability_charge,stability_discharge,material_ids,fields_not_requested
mp-1045896_Li,Li0-1Ni9O13,Li,"['Ni', 'O']",Ni9O13,LiNi9O13,0.004479075718492,4.717965313333342,36.06354414722894,170.14655036249178,0.19960782409090802,0.144637906123177,"['mp-chneu', 'mp-cshup', 'mp-cshbc']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1072259_Li,Li0-1LuSn2,Li,"['Lu', 'Sn']",LuSn2,LiLuSn2,0.20402666647341602,-0.268575361666665,63.91531484986429,-17.1660788018411,0.0,0.18845087214285602,"['mp-cjaet', 'mp-cjjqo']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1077177_Li,Li0-1Mg2Ni,Li,"['Mg', 'Ni']",Mg2Ni,LiMg2Ni,0.10129587747493901,0.6131556933333321,234.59776711474603,143.8449565496937,0.21769566111111002,0.010779779016203,"['mp-cjhlx', 'mp-cplnl']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1077102_Li,Li0-1TmSn2,Li,"['Tm', 'Sn']",TmSn2,LiTmSn2,0.198767375032002,-0.19816765166666703,64.84827430098667,-12.85083023286245,0.0,0.167563159107142,"['mp-cjhja', 'mp-cjlta']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1100424_Li,Li1-2MgSb,Li,"['Mg', 'Sb']",LiMgSb,Li2MgSb,0.129320295770393,-0.40290990666666704,167.5647629862635,-67.51350301541761,0.0,0.208893178043478,"['mp-cqrqg', 'mp-ckpwa', 'mp-crork']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1097024_Li,Li0-1CoS2,Li,"['Co', 'S']",CoS2,LiCoS2,0.132286694546869,2.052771425833332,206.15858700070328,423.1964565852187,0.09849998916666701,0.05251986250000001,"['mp-dbdgn', 'mp-ckkvg', 'mp-coyuq']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1072922_Li,Li0-1TbSn2,Li,"['Tb', 'Sn']",TbSn2,LiTbSn2,0.182200737021693,0.018506648333333,66.45769475055104,1.2299091857924631,0.0,0.09948100729166601,"['mp-cjbeg', 'mp-cjjlj']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1078799_Li,Li1-3NbF6,Li,"['Nb', 'F']",LiNbF6,Li3NbF6,0.139549043241147,0.366518403333335,235.38999454171213,86.27476496007077,0.0,0.366658335066662,"['mp-cjjwh', 'mp-clewo']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1100430_Li,Li1-2ZnSb,Li,"['Zn', 'Sb']",LiZnSb,Li2ZnSb,0.161603078950519,-0.040223916666667005,133.30687808249593,-5.36212475508396,0.006121566666666,0.193468926249999,"['mp-ckpwg', 'mp-cropi']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1111688_Li,Li0-3CrF6,Li,"['Cr', 'F']",CrF6,Li3CrF6,0.0014515303952950002,5.021094306666666,430.4087060467724,2161.1227034712156,0.0,0.20181595100000002,"['mp-dbeyq', 'mp-clgng']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
